epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,943.545,1.46901,1.29808,1.43153,0.6284,0.49262,0.60687,0.35255,1.75001,1.43521,1.90356,0.001387,0.001387,0.001387
89,954.123,1.44447,1.26643,1.39667,0.56539,0.7166,0.58501,0.31816,1.72583,1.40049,1.88015,0.001288,0.001288,0.001288
90,964.005,1.49001,1.31428,1.44756,0.59448,0.64437,0.62516,0.36319,1.68151,1.45842,1.85983,0.001189,0.001189,0.001189
91,976.12,1.36228,1.19858,1.41984,0.55444,0.65813,0.66166,0.36277,1.74685,1.49829,1.921,0.00109,0.00109,0.00109
92,986.772,1.37061,1.17485,1.4106,0.66939,0.57587,0.68264,0.40322,1.70961,1.48247,1.88737,0.000991,0.000991,0.000991
93,997.161,1.3189,1.16639,1.39204,0.62101,0.63417,0.61349,0.33038,1.73091,1.42656,1.89077,0.000892,0.000892,0.000892
94,1007.52,1.32734,1.12854,1.38183,0.51507,0.67772,0.59642,0.33352,1.70483,1.42448,1.85928,0.000793,0.000793,0.000793
95,1017.17,1.32897,1.14728,1.37575,0.65179,0.56653,0.65705,0.35998,1.68956,1.41937,1.85223,0.000694,0.000694,0.000694
96,1027.13,1.3152,1.09153,1.38658,0.5943,0.5595,0.57003,0.30274,1.73854,1.46557,1.91527,0.000595,0.000595,0.000595
97,1037.61,1.33448,1.07916,1.39237,0.58029,0.72762,0.66473,0.35476,1.75702,1.39119,1.91941,0.000496,0.000496,0.000496
98,1047.95,1.29308,1.07382,1.36666,0.5692,0.6904,0.61067,0.33951,1.7182,1.4002,1.90758,0.000397,0.000397,0.000397
99,1058.21,1.29324,1.08429,1.35936,0.52367,0.72665,0.59525,0.32067,1.70164,1.4393,1.90627,0.000298,0.000298,0.000298
100,1067.65,1.3219,1.07614,1.37091,0.51878,0.7609,0.65833,0.36858,1.71132,1.38876,1.90639,0.000199,0.000199,0.000199
